source_section,source_page_or_anchor,target_file,target_section,status,issue_type,note
Benzetimde kullanılan elemanlar ve parametreler,TOC 41 / docx:benzetimde-kullanilan-elemanlar-ve-parametreler,docs/full-report.md,#benzetimde-kullanilan-elemanlar-ve-parametreler,TAM,table_reconstruction,"Parametre ve eleman listesi hedefte geniş tablo olarak aktarılmış."
Çıkış Gücü,TOC 43 / docx:cikis-gucu,docs/full-report.md,#cikis-gucu,TAM,simulation_evidence,"49.5957 W ve 124.1839 W sonuçları image42-image43 ile aktarılmış."
Output Voltage (static requirement),TOC 44 / docx:output-voltage-static-requirement,docs/full-report.md,#output-voltage-static-requirement,TAM,simulation_evidence,"14 V ±3% gereksinimi, yaklaşık %1.30 notu ve image44 aktarılmış."
Output Voltage (transient limits),TOC 45 / docx:output-voltage-transient-limits,docs/full-report.md,#output-voltage-transient-limits,KISMİ,YANLIŞ_KONUMLANDIRMA,"Kaynak OOXML section metrics image45-image46'yı bu başlığa bağlıyor; hedef image45'i transientte, image46'yı ripple altında gösteriyor. Semantik olarak doğru görünüyor ama PDF sırası ile doğrulanmalı."
"Allowed output voltage ripple (p-p, any R load)",TOC 46 / docx:allowed-output-voltage-ripple,docs/full-report.md,#allowed-output-voltage-ripple,KISMİ,YANLIŞ_KONUMLANDIRMA,"Kaynak OOXML metrics image47-image50'yi bu başlık altında sayıyor; hedef image46'yı ripple, image47-image50'yi verimlilik altında konumlandırıyor. Semantik yerleşim iyi ama kaynak render ile kontrol edilmeli."
Verimlilik,TOC 47 / docx:verimlilik,docs/full-report.md,#verimlilik,KISMİ,YANLIŞ_KONUMLANDIRMA,"Kaynak Verimlilik başlığının altında metrik olarak az içerik görünüyor; hedef verimlilik ekran görüntülerini ve %97.78 hesabını bu başlıkta topluyor."
Hesaplamaların Doğrulanması,TOC 48 / docx:hesaplamalarin-dogrulanmasi,docs/full-report.md,#hesaplamalarin-dogrulanmasi,TAM,section_transfer,"Kaynak doğrulama maddeleri ve sonuç özeti aktarılmış; hedef verification tablosu ile güçlendirilmiş."
PROJENIN GELECEĞİ,TOC 49 / docx:projenin-gelecegi,docs/full-report.md,#projenin-gelecegi,TAM,section_transfer,"LM5146, giriş filtresi, MOSFET driver, average model, kayıp/verim, Altium notları aktarılmış."
KAYNAKLAR,TOC 50 / docx:kaynaklar,docs/full-report.md,#kaynaklar,TAM,reference_formatting,"7 kaynak temiz Markdown referans formatında aktarılmış; repo içi third-party PDF lisans notu eklenmiş."
EKLER,TOC 51 / docx:ekler,docs/full-report.md,#ekler,TAM,heading_transfer,"Ekler omurgası korunmuş."
EK-1. Sığaç Verisayfası,TOC 51 / docx:ek-1-sigac-verisayfasi,docs/full-report.md,#ek-1-sigac-verisayfasi,KISMİ,YANLIŞ_KONUMLANDIRMA,"Kaynak OOXML metrics image52'yi EK-2 altında sayıyor; hedef image52'yi semantik olarak EK-1 altında gösteriyor. PDF görsel sırası ile doğrulanmalı."
EK-2. Genel görünüm,TOC 51 / docx:ek-2-genel-gorunum,docs/full-report.md,#ek-2-genel-gorunum,TAM,figure_transfer,"LTspice genel görünüm image53 aktarılmış."
Word bookmark hatası,docx:toc,docs/full-report.md,#icindekiler,ŞABLON_ARTEFAKTI,word_bookmark,"Kaynak DOCX metninde bozuk TEŞEKKÜR bookmark alanı bulunuyor. Hedef Markdown TOC bunu taşımıyor; kaynakta düzeltilmesi gereken Word alanı."
Boş danışman/onay alanları,docx:front-matter,docs/full-report.md,#kapak,ŞABLON_ARTEFAKTI,template_fields,"Kaynak kapakta boş yer tutucular var; hedef full-report sürümünde bu şablon alanları temizlendi."
Türkçe karakterler,repo:utf8-scan,README.md; docs/*.md,all,TAM,character_encoding,"UTF-8 taramasında yaygın mojibake/replacement-character deseni yok; PowerShell çıktısındaki bozulma terminal kod sayfası kaynaklı."
Mikro/ohm/derece sembolleri,repo:math-symbol-scan,docs/full-report.md,all,TAM,symbol_rendering,"Hedef Markdown'da μ/Ω/° çoğunlukla LaTeX \\mu, \\Omega, ^\\circ olarak kullanılıyor; GitHub math için uygun."
Equation rendering genel,docx:math,docs/full-report.md,all,KISMİ,equation_rendering,"Kaynakta 151 oMath ve 65 oMathPara nesnesi var; hedefte 118 display math bloğu ve çok sayıda inline math var. Teknik kritik denklemler aktarılmış olsa da birebir equation-object eşleşmesi yok."
Tablolar genel,docx:tables,docs/full-report.md,all,KISMİ,table_reconstruction,"Kaynakta 28 Word tablo var; hedefte 10 Markdown tablo bloğu / 100 tablo satırı var. Birçok Word tablosu denklem/layout amaçlı olduğu için birebir tablo sayısı beklenmemeli, ama görsel PDF kontrolü önerilir."
Görseller genel,docx:media,docs/full-report.md,all,TAM,figure_transfer,"53 DOCX medya dosyasının 53'ü hedef raporda benzersiz olarak bağlı; toplam 54 görsel referansı var çünkü image38 iki bağlamda kullanılıyor."
Kırık görsel referansları,repo:link-check,docs/full-report.md,all,TAM,broken_link_check,"tools/check_docs_quality.py sonucu: broken_links=0, missing_images=0, docx_media_unlinked=0."
Caption aktarımı,docx:figures,docs/full-report.md,all,KISMİ,caption_reconstruction,"Kaynak DOCX'te açık caption stili sınırlı; hedefte açıklayıcı caption'lar editöryal olarak eklendi. Caption metinleri kaynakla birebir değil."
docs/index.md medya notu,repo:docs-index,docs/index.md,#kalan-manuel-takip,YANLIŞ,stale_documentation,"docs/index.md hâlâ image12/image13/image30/image32/image33 için 'ana akışa gömülmemiştir' diyor; son durumda bu medya full-report içinde bağlı."
docs/TRANSFER_AUDIT.md metrikleri,repo:transfer-audit,docs/TRANSFER_AUDIT.md,all,KISMİ,stale_audit_metrics,"Dosya ilk dönüşümden kalan bazı metrikleri ve unresolved equation/table notlarını taşıyor; güncel manuel düzeltmeler sonrası yeniden audit edilmesi gerekir."
images/readme klasörü,repo:images-readme,images/readme/,all,TAM,reusable_content,"24 temiz adlandırılmış görsel var; README ve ilerideki landing/docs iyileştirmeleri için yeniden kullanılabilir."
images/docx_extracted klasörü,repo:images-docx-extracted,images/docx_extracted/,all,KISMİ,reusable_content,"15 eski kısmi DOCX çıkarımı var; artık tam medya seti docs/assets/docx-media altında olduğu için yalnız karşılaştırma/legacy amaçlı kullanılabilir."
LTspice klasörü,repo:ltspice,LTspice_AveragedSwitchModelingSimulation/,all,KISMİ,reusable_content,"55 dosya korunuyor; SyncBuck_switching_CL.raw yerelde var ama .gitignore ile repo dışında. Buck ana dosyaları yeniden kullanılabilir; boost/flyback/SEPIC örnekleri ana kanıt olarak ayrıştırılmalı."
README landing page,repo:readme,README.md,all,TAM,reusable_content,"Güçlü teknik giriş, navigasyon, verification özeti ve önemli görseller var; full içerik için doğru şekilde docs/full-report.md'ye yönlendiriyor."
Verification summary,repo:verification,docs/verification-summary.md,all,TAM,reusable_content,"Benzetim sonuçları ile hedefleri karşılaştıran tablo mevcut; input transient/ripple/sıcaklık için takip gereken alanları açık bırakıyor."
Source map,repo:source-map,docs/source-map.md,all,KISMİ,reusable_content,"Bölüm ve görsel haritası yararlı; docs/index.md'deki stale medya notu ile tutarlı hale getirilmeli."
Üçüncü taraf PDF/TXT kaynaklar,repo:references,G31/G32/G5 files,all,KISMİ,license_risk,"Kaynak materyal olarak kullanılabilir; özellikle büyük/telifli PDF için lisans/dağıtım durumu ayrıca değerlendirilmeli."
